date,Fridge measurement,Kitchen appliances measurement,Microwave measurement
2012-06-27,0.73,0.19,0.42
2012-06-28,0.65,0.47,0.41
2012-06-29,0.61,0.24,1.4
2012-06-30,0.86,0.22,0.39
2012-07-01,0.77,0.19,0.11
2012-07-02,0.73,0.22,0.17
2012-07-03,0.75,0.53,0.14
2012-07-04,0.71,0.19,0.13
2012-07-05,0.74,0.1,0.23
2012-07-06,0.65,0.21,0.37
2012-07-07,0.67,0.13,0.13
2012-07-08,0.69,0.22,0.21
2012-07-09,0.74,0.15,0.91
2012-07-10,0.74,0.22,0.26
2012-07-11,0.73,0.3,0.32
2012-07-12,0.7,0.2,0.31
2012-07-13,0.66,0.38,0.63
2012-07-14,0.69,0.12,0.11
2012-07-15,0.59,0.01,0.08
2012-07-16,0.61,0.01,0.09
2012-07-17,0.61,0.01,0.09
2012-07-18,0.64,0.01,0.09
2012-07-19,0.65,0.01,0.09
2012-07-20,0.68,0.01,0.09
2012-07-21,0.62,0.01,0.09
2012-07-22,0.65,0.09,0.25
2012-07-23,0.62,0.23,0.17
2012-07-24,0.76,0.1,0.09
2012-07-25,0.73,0.01,0.11
2012-07-26,0.8,0.01,0.09
2012-07-27,0.84,0.01,0.1
2012-07-28,0.92,0.09,0.15
2012-07-29,0.79,0.07,0.09
2012-07-30,0.74,0.23,0.28
2012-07-31,0.77,0.43,0.47
2012-08-01,0.89,0.1,0.51
2012-08-02,0.91,0.2,0.36
2012-08-03,0.86,0.5,0.26
2012-08-04,0.92,0.08,0.38
2012-08-05,0.87,0.0,0.13
2012-08-06,0.81,0.14,0.51
2012-08-07,0.73,0.11,0.77
2012-08-08,0.83,0.05,0.5
2012-08-09,0.76,0.18,0.36
2012-08-10,0.72,0.24,0.24
2012-08-11,0.76,0.09,0.14
2012-08-12,0.81,0.2,0.96
2012-08-13,0.8,0.22,0.25
2012-08-14,0.81,0.56,0.56
2012-08-15,0.86,0.2,0.38
2012-08-16,0.93,0.23,0.28
2012-08-17,0.76,0.29,0.33
2012-08-18,0.85,0.14,0.18
2012-08-19,0.89,0.16,0.24
2012-08-20,0.93,0.28,0.84
2012-08-21,0.98,0.53,0.6
2012-08-22,0.98,0.1,0.33
2012-08-23,0.97,0.1,0.65
2012-08-24,0.88,0.11,0.33
2012-08-25,0.87,0.26,0.28
2012-08-26,0.79,0.23,0.64
2012-08-27,0.76,0.4,0.79
2012-08-28,0.79,0.52,0.46
2012-08-29,0.81,0.19,0.5
2012-08-30,0.81,0.26,0.35
2012-08-31,0.59,0.01,0.09
2012-09-01,0.61,0.14,0.2
2012-09-02,0.59,0.09,0.38
2012-09-03,0.65,0.22,0.65
2012-09-04,0.66,0.32,0.46
2012-09-05,0.21,0.09,0.04
2012-09-11,0.42,0.11,0.26
2012-09-12,0.79,0.2,0.38
2012-09-13,0.65,0.18,0.16
2012-09-14,0.24,0.09,0.05
2012-09-15,0.16,0.08,0.04
2012-09-16,0.63,0.23,0.13
2012-09-17,0.67,0.18,0.29
2012-09-18,0.67,0.23,0.26
2012-09-19,0.71,0.18,0.32
2012-09-20,0.62,0.29,0.7
2012-09-21,0.6,0.32,0.78
2012-09-22,0.63,0.3,0.2
2012-09-23,0.66,0.23,0.19
2012-09-24,0.66,0.23,0.28
2012-09-25,0.64,0.24,0.66
2012-09-26,0.63,0.59,0.47
2012-09-27,0.63,0.2,0.98
2012-09-28,0.63,0.26,0.29
2012-09-29,0.65,0.19,0.36
2012-09-30,0.58,0.39,0.51
2012-10-01,0.66,0.11,0.1
2012-10-02,0.57,0.01,0.09
2012-10-03,0.59,0.01,0.09
2012-10-04,0.6,0.13,0.27
2012-10-05,0.63,0.32,0.2
2012-10-06,0.59,0.19,0.24
2012-10-07,0.68,0.3,0.2
2012-10-08,0.65,0.52,0.38
2012-10-09,0.64,0.34,0.25
2012-10-10,0.67,0.18,1.1
2012-10-11,0.65,0.17,0.24
2012-10-12,0.62,0.19,0.52
2012-10-13,0.59,0.13,0.1
2012-10-14,0.59,0.09,0.25
